person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,age_group,income_bracket,loan_to_income_pct,dti_risk_band,loan_status_label,has_prior_default,credit_hist_ratio,predicted_default_probability,predicted_risk_tier
24,72000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,8000,12.21,0,0.11,N,3,18-25,50-75K,11.11,Low,Non-Default,0,0.43,0.2075,Low
26,48000,RENT,7.0,MEDICAL,A,9000,8.94,0,0.19,N,3,26-35,25-50K,18.75,Low,Non-Default,0,0.33,0.1756,Very Low
22,52500,MORTGAGE,6.0,VENTURE,C,8000,15.23,0,0.15,Y,4,18-25,50-75K,15.24,Low,Non-Default,1,0.8,0.3395,Low
25,76000,MORTGAGE,3.0,EDUCATION,A,20000,6.54,0,0.26,N,2,18-25,75-100K,26.32,Moderate,Non-Default,0,0.25,0.1037,Very Low
23,39996,RENT,6.0,MEDICAL,B,12000,9.63,0,0.3,N,3,18-25,25-50K,30.0,Moderate,Non-Default,0,0.5,0.2048,Low
23,68000,MORTGAGE,4.0,EDUCATION,A,1000,8.0,0,0.01,N,4,18-25,50-75K,1.47,Very Low,Non-Default,0,0.67,0.1635,Very Low
25,82560,RENT,6.0,DEBTCONSOLIDATION,A,4500,7.42,0,0.05,N,4,18-25,75-100K,5.45,Very Low,Non-Default,0,0.5,0.095,Very Low
26,74000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,10000,6.62,0,0.14,N,2,26-35,50-75K,13.51,Low,Non-Default,0,0.22,0.0747,Very Low
25,38000,RENT,9.0,EDUCATION,B,4800,11.71,0,0.13,N,3,18-25,25-50K,12.63,Low,Non-Default,0,0.38,0.3349,Low
25,31500,RENT,8.0,DEBTCONSOLIDATION,A,14850,8.9,1,0.47,N,3,18-25,25-50K,47.14,Very High,Default,0,0.38,0.989,Very High
25,88000,MORTGAGE,7.0,PERSONAL,B,11000,11.14,0,0.13,N,2,18-25,75-100K,12.5,Low,Non-Default,0,0.25,0.1383,Very Low
24,42000,OWN,8.0,HOMEIMPROVEMENT,A,8000,6.62,0,0.19,N,2,18-25,25-50K,19.05,Low,Non-Default,0,0.29,0.1239,Very Low
22,37200,RENT,6.0,HOMEIMPROVEMENT,A,7000,7.9,1,0.19,N,2,18-25,25-50K,18.82,Low,Default,0,0.4,0.3478,Low
24,75000,RENT,6.0,HOMEIMPROVEMENT,B,15000,11.71,0,0.2,N,4,18-25,50-75K,20.0,Low,Non-Default,0,0.57,0.2262,Low
23,68500,MORTGAGE,7.0,VENTURE,C,4200,11.66,0,0.06,N,3,18-25,50-75K,6.13,Very Low,Non-Default,0,0.5,0.2018,Low
25,29000,RENT,9.0,MEDICAL,B,1000,11.99,1,0.03,N,2,18-25,25-50K,3.45,Very Low,Default,0,0.25,0.4429,Moderate
24,35000,RENT,1.0,DEBTCONSOLIDATION,A,12000,6.54,1,0.34,N,2,18-25,25-50K,34.29,High,Default,0,0.29,0.9705,Very High
23,42000,RENT,0.0,VENTURE,C,5000,13.48,1,0.12,N,3,18-25,25-50K,11.9,Low,Default,0,0.5,0.3485,Low
23,16000,MORTGAGE,3.0,MEDICAL,C,2275,13.06,0,0.14,Y,3,18-25,<25K,14.22,Low,Non-Default,1,0.5,0.4179,Moderate
24,65000,RENT,5.0,MEDICAL,A,12000,8.9,0,0.18,N,3,18-25,50-75K,18.46,Low,Non-Default,0,0.43,0.1247,Very Low
21,70553,MORTGAGE,2.0,MEDICAL,D,10000,15.28,1,0.12,N,3,18-25,50-75K,14.17,Low,Default,0,0.75,0.809,Very High
26,34000,RENT,3.0,PERSONAL,D,5500,16.89,0,0.16,Y,3,26-35,25-50K,16.18,Low,Non-Default,1,0.33,0.6846,High
21,25000,MORTGAGE,2.0,PERSONAL,B,3600,9.91,0,0.14,N,4,18-25,<25K,14.4,Low,Non-Default,0,1.0,0.3109,Low
24,49278,RENT,4.0,DEBTCONSOLIDATION,C,11000,13.22,0,0.22,Y,2,18-25,25-50K,22.32,Moderate,Non-Default,1,0.29,0.2855,Low
21,27600,OWN,3.0,EDUCATION,C,1000,15.27,0,0.04,Y,3,18-25,25-50K,3.62,Very Low,Non-Default,1,0.75,0.2112,Low
26,59500,MORTGAGE,9.0,DEBTCONSOLIDATION,A,12000,6.62,0,0.2,N,4,26-35,50-75K,20.17,Low,Non-Default,0,0.44,0.1282,Very Low
25,64000,RENT,0.0,DEBTCONSOLIDATION,E,20000,16.82,1,0.31,Y,4,18-25,50-75K,31.25,High,Default,1,0.5,0.9934,Very High
22,33000,RENT,1.0,MEDICAL,C,1400,14.27,0,0.04,Y,3,18-25,25-50K,4.24,Very Low,Non-Default,1,0.6,0.3412,Low
24,106000,RENT,6.0,HOMEIMPROVEMENT,B,13000,12.69,1,0.12,N,4,18-25,100-150K,12.26,Low,Default,0,0.57,0.1958,Very Low
22,28000,RENT,5.0,PERSONAL,B,6900,9.99,0,0.25,N,3,18-25,25-50K,24.64,Moderate,Non-Default,0,0.6,0.2848,Low
25,20000,RENT,1.0,MEDICAL,A,12000,8.07,1,0.6,N,2,18-25,<25K,60.0,Very High,Default,0,0.25,0.9891,Very High
21,60000,RENT,5.0,MEDICAL,B,10000,12.18,0,0.17,N,4,18-25,50-75K,16.67,Low,Non-Default,0,1.0,0.1744,Very Low
22,38000,MORTGAGE,4.0,EDUCATION,A,1950,7.37,0,0.05,N,4,18-25,25-50K,5.13,Very Low,Non-Default,0,0.8,0.2332,Low
21,37423,RENT,5.0,MEDICAL,A,2800,7.88,0,0.07,N,4,18-25,25-50K,7.48,Very Low,Non-Default,0,1.0,0.2133,Low
23,55000,RENT,0.0,VENTURE,C,12300,13.48,0,0.22,N,2,18-25,50-75K,22.36,Moderate,Non-Default,0,0.33,0.2381,Low
22,74476,MORTGAGE,6.0,EDUCATION,A,5000,8.49,1,0.07,N,2,18-25,50-75K,6.71,Very Low,Default,0,0.4,0.236,Low
24,56000,MORTGAGE,8.0,EDUCATION,A,12000,7.49,0,0.21,N,2,18-25,50-75K,21.43,Moderate,Non-Default,0,0.29,0.1664,Very Low
25,45000,RENT,0.0,DEBTCONSOLIDATION,C,10000,12.98,0,0.22,Y,3,18-25,25-50K,22.22,Moderate,Non-Default,1,0.38,0.2744,Low
23,24000,MORTGAGE,5.0,MEDICAL,B,1375,11.11,1,0.06,N,3,18-25,<25K,5.73,Very Low,Default,0,0.5,0.4544,Moderate
25,100000,RENT,9.0,PERSONAL,C,20000,13.06,0,0.2,Y,3,18-25,75-100K,20.0,Low,Non-Default,1,0.38,0.1663,Very Low
24,48000,MORTGAGE,2.0,VENTURE,B,5500,11.36,0,0.11,N,3,18-25,25-50K,11.46,Low,Non-Default,0,0.43,0.0798,Very Low
22,61200,MORTGAGE,6.0,MEDICAL,E,16000,16.45,1,0.22,N,4,18-25,50-75K,26.14,Moderate,Default,0,0.8,0.8313,Very High
24,43995,RENT,4.0,EDUCATION,C,7400,13.99,1,0.17,Y,3,18-25,25-50K,16.82,Low,Default,1,0.43,0.4403,Moderate
24,95000,OWN,4.0,PERSONAL,C,10000,15.23,0,0.11,N,4,18-25,75-100K,10.53,Low,Non-Default,0,0.57,0.1564,Very Low
23,38000,RENT,0.0,EDUCATION,A,7500,7.88,0,0.2,N,3,18-25,25-50K,19.74,Low,Non-Default,0,0.5,0.2055,Low
22,103000,MORTGAGE,7.0,EDUCATION,D,15000,15.99,0,0.15,N,3,18-25,100-150K,14.56,Low,Non-Default,0,0.6,0.3905,Low
23,85000,RENT,2.0,VENTURE,C,12000,13.16,0,0.14,Y,2,18-25,75-100K,14.12,Low,Non-Default,1,0.33,0.1673,Very Low
23,75000,RENT,3.0,EDUCATION,A,13200,6.17,0,0.18,N,3,18-25,50-75K,17.6,Low,Non-Default,0,0.5,0.0815,Very Low
22,28500,MORTGAGE,1.0,MEDICAL,A,8500,7.68,0,0.3,N,3,18-25,25-50K,29.82,Moderate,Non-Default,0,0.6,0.2321,Low
23,74800,MORTGAGE,4.0,MEDICAL,C,8400,14.65,1,0.1,N,4,18-25,50-75K,11.23,Very Low,Default,0,0.67,0.4721,Moderate
24,57000,MORTGAGE,8.0,MEDICAL,F,20000,19.13,1,0.35,Y,3,18-25,50-75K,35.09,High,Default,1,0.43,0.9172,Very High
23,15600,RENT,1.0,VENTURE,A,4500,5.99,1,0.29,N,3,18-25,<25K,28.85,Moderate,Default,0,0.5,0.9314,Very High
23,50000,RENT,5.0,PERSONAL,A,10000,8.94,0,0.2,N,2,18-25,25-50K,20.0,Low,Non-Default,0,0.33,0.1511,Very Low
25,78000,MORTGAGE,9.0,DEBTCONSOLIDATION,D,8000,16.0,1,0.1,N,4,18-25,75-100K,10.26,Very Low,Default,0,0.5,0.9291,Very High
23,60000,OWN,0.0,PERSONAL,B,8000,12.53,0,0.13,N,3,18-25,50-75K,13.33,Low,Non-Default,0,0.5,0.1189,Very Low
26,38000,MORTGAGE,10.0,HOMEIMPROVEMENT,D,15000,15.33,0,0.39,N,3,26-35,25-50K,39.47,High,Non-Default,0,0.33,0.707,High
22,175000,MORTGAGE,6.0,MEDICAL,B,18000,10.99,0,0.1,N,3,18-25,150K+,10.29,Very Low,Non-Default,0,0.6,0.1447,Very Low
23,48000,RENT,6.0,EDUCATION,A,4800,7.9,0,0.1,N,2,18-25,25-50K,10.0,Very Low,Non-Default,0,0.33,0.1801,Very Low
24,42000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,11000,5.42,0,0.26,N,4,18-25,25-50K,26.19,Moderate,Non-Default,0,0.57,0.1982,Very Low
25,95950,RENT,2.0,PERSONAL,B,17500,11.71,0,0.18,N,3,18-25,75-100K,18.24,Low,Non-Default,0,0.38,0.1541,Very Low
25,84000,MORTGAGE,9.0,MEDICAL,B,5000,10.99,0,0.06,N,2,18-25,75-100K,5.95,Very Low,Non-Default,0,0.25,0.1782,Very Low
23,37500,RENT,2.0,DEBTCONSOLIDATION,C,8000,14.26,0,0.21,N,4,18-25,25-50K,21.33,Moderate,Non-Default,0,0.67,0.3806,Low
25,49000,RENT,9.0,DEBTCONSOLIDATION,A,10000,6.62,1,0.2,N,2,18-25,25-50K,20.41,Low,Default,0,0.25,0.2442,Low
23,52800,RENT,4.0,VENTURE,C,14000,14.27,0,0.27,N,4,18-25,50-75K,26.52,Moderate,Non-Default,0,0.67,0.3185,Low
23,33500,RENT,2.0,MEDICAL,E,2500,15.68,1,0.07,Y,4,18-25,25-50K,7.46,Very Low,Default,1,0.67,0.9832,Very High
22,60000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,5000,6.54,0,0.08,N,3,18-25,50-75K,8.33,Very Low,Non-Default,0,0.6,0.0987,Very Low
23,70000,MORTGAGE,7.0,PERSONAL,A,13000,5.42,0,0.19,N,3,18-25,50-75K,18.57,Low,Non-Default,0,0.5,0.0913,Very Low
22,38000,RENT,5.0,EDUCATION,C,10000,13.49,0,0.26,Y,2,18-25,25-50K,26.32,Moderate,Non-Default,1,0.4,0.3523,Low
25,28800,RENT,0.0,EDUCATION,A,5000,8.9,0,0.17,N,4,18-25,25-50K,17.36,Low,Non-Default,0,0.5,0.2808,Low
23,114600,MORTGAGE,7.0,PERSONAL,C,10000,13.06,0,0.09,Y,4,18-25,100-150K,8.73,Very Low,Non-Default,1,0.67,0.1649,Very Low
25,63000,MORTGAGE,3.0,PERSONAL,C,3000,13.47,0,0.05,Y,2,18-25,50-75K,4.76,Very Low,Non-Default,1,0.25,0.298,Low
23,65000,MORTGAGE,3.0,VENTURE,A,7000,7.9,0,0.11,N,4,18-25,50-75K,10.77,Low,Non-Default,0,0.67,0.0326,Very Low
22,57175,RENT,6.0,EDUCATION,F,16000,17.15,1,0.28,Y,2,18-25,50-75K,27.98,Moderate,Default,1,0.4,0.8401,Very High
22,24000,OWN,3.0,VENTURE,B,2500,10.59,0,0.1,N,2,18-25,<25K,10.42,Very Low,Non-Default,0,0.4,0.0486,Very Low
24,67000,RENT,5.0,PERSONAL,C,20000,13.48,0,0.3,Y,3,18-25,50-75K,29.85,Moderate,Non-Default,1,0.43,0.2874,Low
21,36000,RENT,1.0,MEDICAL,D,4500,17.27,1,0.13,N,4,18-25,25-50K,12.5,Low,Default,0,1.0,0.9829,Very High
23,67150,MORTGAGE,5.0,MEDICAL,D,10000,16.32,1,0.13,N,2,18-25,50-75K,14.89,Low,Default,0,0.33,0.8314,Very High
23,31200,RENT,0.0,PERSONAL,C,3200,13.49,0,0.1,Y,2,18-25,25-50K,10.26,Very Low,Non-Default,1,0.33,0.4058,Moderate
24,45000,MORTGAGE,0.0,EDUCATION,C,10625,14.27,1,0.24,N,4,18-25,25-50K,23.61,Moderate,Default,0,0.57,0.4096,Moderate
23,67000,OWN,1.0,VENTURE,A,3250,6.76,0,0.05,N,4,18-25,50-75K,4.85,Very Low,Non-Default,0,0.67,0.016,Very Low
23,112800,MORTGAGE,3.0,EDUCATION,B,35000,10.99,0,0.31,N,2,18-25,100-150K,31.03,High,Non-Default,0,0.33,0.2163,Low
24,22000,OWN,1.0,EDUCATION,D,3000,16.0,0,0.14,N,2,18-25,<25K,13.64,Low,Non-Default,0,0.29,0.36,Low
23,29004,OWN,1.0,VENTURE,C,2000,13.16,0,0.07,N,3,18-25,25-50K,6.9,Very Low,Non-Default,0,0.5,0.1595,Very Low
24,80000,MORTGAGE,8.0,PERSONAL,A,9000,7.49,0,0.11,N,2,18-25,75-100K,11.25,Low,Non-Default,0,0.29,0.0726,Very Low
26,35000,RENT,0.0,MEDICAL,A,6600,8.59,0,0.19,N,3,26-35,25-50K,18.86,Low,Non-Default,0,0.33,0.1902,Very Low
26,52000,OWN,10.0,DEBTCONSOLIDATION,D,5000,15.65,0,0.1,Y,4,26-35,50-75K,9.62,Very Low,Non-Default,1,0.44,0.4652,Moderate
24,70399,RENT,0.0,MEDICAL,A,1000,8.59,0,0.01,N,3,18-25,50-75K,1.42,Very Low,Non-Default,0,0.43,0.1759,Very Low
21,18000,RENT,5.0,MEDICAL,B,1500,12.18,1,0.08,N,3,18-25,<25K,8.33,Very Low,Default,0,0.75,0.526,Moderate
23,103240,MORTGAGE,0.0,VENTURE,A,4000,7.49,0,0.04,N,3,18-25,100-150K,3.87,Very Low,Non-Default,0,0.5,0.0163,Very Low
25,54000,RENT,8.0,DEBTCONSOLIDATION,C,19000,13.48,1,0.35,Y,2,18-25,50-75K,35.19,High,Default,1,0.25,0.9855,Very High
23,85000,RENT,5.0,EDUCATION,A,10000,6.17,0,0.12,N,3,18-25,75-100K,11.76,Low,Non-Default,0,0.5,0.0634,Very Low
22,66000,MORTGAGE,6.0,VENTURE,B,10000,11.49,0,0.15,N,4,18-25,50-75K,15.15,Low,Non-Default,0,0.8,0.0649,Very Low
22,49000,MORTGAGE,2.0,VENTURE,B,8500,12.53,0,0.17,N,3,18-25,25-50K,17.35,Low,Non-Default,0,0.6,0.0986,Very Low
26,30000,RENT,4.0,MEDICAL,C,5000,13.48,0,0.17,Y,4,26-35,25-50K,16.67,Low,Non-Default,1,0.44,0.4371,Moderate
23,30000,RENT,0.0,EDUCATION,C,8400,14.65,0,0.28,N,3,18-25,25-50K,28.0,Moderate,Non-Default,0,0.5,0.4796,Moderate
21,24996,RENT,2.0,MEDICAL,E,5000,16.45,1,0.2,N,4,18-25,<25K,20.0,Low,Default,0,1.0,0.9876,Very High
22,44004,MORTGAGE,3.0,EDUCATION,D,9000,14.11,1,0.2,N,4,18-25,25-50K,20.45,Low,Default,0,0.8,0.6361,High
23,32000,MORTGAGE,4.0,EDUCATION,A,1200,7.68,0,0.04,N,2,18-25,25-50K,3.75,Very Low,Non-Default,0,0.33,0.4024,Moderate
24,88000,MORTGAGE,2.0,DEBTCONSOLIDATION,G,25000,18.84,1,0.28,Y,2,18-25,75-100K,28.41,Moderate,Default,1,0.29,0.952,Very High
24,45600,MORTGAGE,0.0,EDUCATION,A,7200,6.91,0,0.16,N,2,18-25,25-50K,15.79,Low,Non-Default,0,0.29,0.1466,Very Low
23,95000,RENT,4.0,EDUCATION,B,10000,10.99,0,0.11,N,4,18-25,75-100K,10.53,Low,Non-Default,0,0.67,0.1273,Very Low
26,69846,RENT,2.0,EDUCATION,F,22500,18.99,1,0.32,N,4,26-35,50-75K,32.21,High,Default,0,0.44,0.9906,Very High
23,75000,OWN,5.0,MEDICAL,D,12500,15.33,0,0.17,Y,3,18-25,50-75K,16.67,Low,Non-Default,1,0.5,0.4064,Moderate
22,55000,RENT,3.0,PERSONAL,D,15000,14.61,0,0.27,Y,4,18-25,50-75K,27.27,Moderate,Non-Default,1,0.8,0.5868,Moderate
24,122000,RENT,4.0,DEBTCONSOLIDATION,B,15000,11.58,0,0.12,N,2,18-25,100-150K,12.3,Low,Non-Default,0,0.29,0.1472,Very Low
24,62500,OWN,8.0,HOMEIMPROVEMENT,C,6500,13.22,0,0.1,N,3,18-25,50-75K,10.4,Very Low,Non-Default,0,0.43,0.1737,Very Low
26,93492,RENT,0.0,PERSONAL,B,20000,9.45,0,0.21,N,2,26-35,75-100K,21.39,Moderate,Non-Default,0,0.22,0.1287,Very Low
26,37000,RENT,0.0,PERSONAL,B,14000,9.88,1,0.38,N,2,26-35,25-50K,37.84,High,Default,0,0.22,0.9846,Very High
23,61615,MORTGAGE,4.0,MEDICAL,B,13000,10.62,0,0.21,N,3,18-25,50-75K,21.1,Moderate,Non-Default,0,0.5,0.2168,Low
22,50000,MORTGAGE,6.0,VENTURE,A,7800,6.62,0,0.16,N,2,18-25,25-50K,15.6,Low,Non-Default,0,0.4,0.0324,Very Low
22,75000,RENT,5.0,EDUCATION,B,5000,11.49,0,0.07,N,4,18-25,50-75K,6.67,Very Low,Non-Default,0,0.8,0.1935,Very Low
21,42500,RENT,0.0,DEBTCONSOLIDATION,B,2500,10.99,0,0.06,N,4,18-25,25-50K,5.88,Very Low,Non-Default,0,1.0,0.2501,Low
25,33500,RENT,2.0,MEDICAL,B,10000,10.25,0,0.3,N,3,18-25,25-50K,29.85,Moderate,Non-Default,0,0.38,0.3739,Low
26,75000,RENT,0.0,EDUCATION,B,12000,10.38,0,0.16,N,3,26-35,50-75K,16.0,Low,Non-Default,0,0.33,0.1329,Very Low
24,45000,RENT,0.0,EDUCATION,E,6000,17.19,1,0.13,Y,3,18-25,25-50K,13.33,Low,Default,1,0.43,0.9622,Very High
23,54000,RENT,7.0,MEDICAL,B,4500,10.99,1,0.08,N,3,18-25,50-75K,8.33,Very Low,Default,0,0.5,0.3178,Low
21,61000,RENT,3.0,EDUCATION,B,7500,10.39,0,0.12,N,4,18-25,50-75K,12.3,Low,Non-Default,0,1.0,0.1511,Very Low
22,28800,OWN,2.0,EDUCATION,D,10000,16.49,0,0.35,Y,2,18-25,25-50K,34.72,High,Non-Default,1,0.4,0.4341,Moderate
25,56204,RENT,3.0,MEDICAL,D,12000,14.11,1,0.21,Y,2,18-25,50-75K,21.35,Moderate,Default,1,0.25,0.8005,Very High
25,57300,RENT,2.0,HOMEIMPROVEMENT,C,10400,11.66,0,0.18,Y,4,18-25,50-75K,18.15,Low,Non-Default,1,0.5,0.2685,Low
23,66000,RENT,0.0,EDUCATION,B,9200,11.86,0,0.14,N,2,18-25,50-75K,13.94,Low,Non-Default,0,0.33,0.1548,Very Low
24,8400,RENT,4.0,EDUCATION,C,1500,13.99,1,0.18,N,4,18-25,<25K,17.86,Low,Default,0,0.57,0.9273,Very High
23,83600,RENT,7.0,PERSONAL,A,15000,8.49,1,0.18,N,3,18-25,75-100K,17.94,Low,Default,0,0.5,0.2176,Low
24,45996,RENT,3.0,EDUCATION,C,2000,12.98,0,0.04,Y,4,18-25,25-50K,4.35,Very Low,Non-Default,1,0.57,0.2813,Low
22,24000,MORTGAGE,4.0,EDUCATION,A,1300,5.42,0,0.05,N,3,18-25,<25K,5.42,Very Low,Non-Default,0,0.6,0.2395,Low
22,50000,RENT,3.0,VENTURE,C,13000,12.23,0,0.26,N,3,18-25,25-50K,26.0,Moderate,Non-Default,0,0.6,0.2009,Low
22,70000,MORTGAGE,3.0,VENTURE,B,14400,11.71,0,0.21,N,4,18-25,50-75K,20.57,Moderate,Non-Default,0,0.8,0.0697,Very Low
23,47233,RENT,7.0,DEBTCONSOLIDATION,B,5000,11.36,0,0.11,N,4,18-25,25-50K,10.59,Low,Non-Default,0,0.67,0.2892,Low
26,51600,OWN,10.0,EDUCATION,B,15000,9.88,0,0.29,N,4,26-35,50-75K,29.07,Moderate,Non-Default,0,0.44,0.1781,Very Low
24,72000,MORTGAGE,1.0,VENTURE,A,12000,5.42,0,0.17,N,4,18-25,50-75K,16.67,Low,Non-Default,0,0.57,0.0197,Very Low
21,44004,RENT,2.0,EDUCATION,B,7000,11.46,1,0.16,N,2,18-25,25-50K,15.91,Low,Default,0,0.5,0.2756,Low
23,60000,RENT,4.0,EDUCATION,A,7000,5.79,0,0.12,N,4,18-25,50-75K,11.67,Low,Non-Default,0,0.67,0.0971,Very Low
23,63000,RENT,0.0,VENTURE,D,16000,14.42,1,0.25,Y,2,18-25,50-75K,25.4,Moderate,Default,1,0.33,0.9546,Very High
23,42000,RENT,2.0,EDUCATION,B,6500,10.37,0,0.15,N,3,18-25,25-50K,15.48,Low,Non-Default,0,0.5,0.2229,Low
23,65000,RENT,7.0,EDUCATION,B,3600,10.59,0,0.06,N,3,18-25,50-75K,5.54,Very Low,Non-Default,0,0.5,0.2291,Low
25,48500,OTHER,1.0,PERSONAL,E,19500,15.57,1,0.4,N,3,18-25,25-50K,40.21,High,Default,0,0.38,0.6825,High
21,42000,RENT,5.0,VENTURE,D,1000,15.58,1,0.02,N,4,18-25,25-50K,2.38,Very Low,Default,0,1.0,0.625,High
26,45000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,7750,12.53,0,0.17,N,4,26-35,25-50K,17.22,Low,Non-Default,0,0.44,0.3044,Low
25,120000,RENT,9.0,VENTURE,C,4800,14.22,0,0.04,N,4,18-25,100-150K,4.0,Very Low,Non-Default,0,0.5,0.1869,Very Low
25,49000,RENT,10.0,EDUCATION,A,9600,7.51,1,0.2,N,4,18-25,25-50K,19.59,Low,Default,0,0.5,0.2703,Low
26,22800,RENT,4.0,PERSONAL,C,5000,13.57,0,0.22,Y,2,26-35,<25K,21.93,Moderate,Non-Default,1,0.22,0.3923,Low
22,55000,MORTGAGE,6.0,VENTURE,A,10000,5.79,0,0.18,N,2,18-25,50-75K,18.18,Low,Non-Default,0,0.4,0.035,Very Low
23,36000,MORTGAGE,6.0,PERSONAL,C,14000,12.99,0,0.39,N,3,18-25,25-50K,38.89,High,Non-Default,0,0.5,0.424,Moderate
24,70000,RENT,0.0,MEDICAL,A,10000,7.29,0,0.14,N,3,18-25,50-75K,14.29,Low,Non-Default,0,0.43,0.0775,Very Low
23,27000,RENT,6.0,EDUCATION,C,6000,11.66,0,0.22,Y,3,18-25,25-50K,22.22,Moderate,Non-Default,1,0.5,0.374,Low
22,58608,RENT,4.0,MEDICAL,A,10000,7.51,0,0.17,N,2,18-25,50-75K,17.06,Low,Non-Default,0,0.4,0.1417,Very Low
22,39000,OWN,6.0,MEDICAL,A,1000,7.49,0,0.03,N,2,18-25,25-50K,2.56,Very Low,Non-Default,0,0.4,0.1627,Very Low
22,185000,RENT,4.0,EDUCATION,B,25000,11.36,0,0.14,N,4,18-25,150K+,13.51,Low,Non-Default,0,0.8,0.1657,Very Low
23,80400,RENT,4.0,EDUCATION,A,9000,7.51,0,0.11,N,4,18-25,75-100K,11.19,Low,Non-Default,0,0.67,0.0829,Very Low
24,41000,RENT,1.0,DEBTCONSOLIDATION,C,7000,12.53,0,0.17,N,2,18-25,25-50K,17.07,Low,Non-Default,0,0.29,0.2808,Low
25,57000,RENT,1.0,PERSONAL,B,9500,12.53,0,0.17,N,2,18-25,50-75K,16.67,Low,Non-Default,0,0.25,0.2167,Low
26,51600,RENT,1.0,EDUCATION,A,5000,8.94,1,0.1,N,2,26-35,50-75K,9.69,Very Low,Default,0,0.22,0.2003,Low
22,20000,RENT,2.0,VENTURE,B,5000,11.86,0,0.25,N,2,18-25,<25K,25.0,Moderate,Non-Default,0,0.4,0.2799,Low
25,60000,MORTGAGE,2.0,PERSONAL,B,6900,9.99,0,0.12,N,2,18-25,50-75K,11.5,Low,Non-Default,0,0.25,0.1774,Very Low
24,50500,RENT,7.0,EDUCATION,A,9600,7.49,0,0.19,N,4,18-25,50-75K,19.01,Low,Non-Default,0,0.57,0.1565,Very Low
23,33000,RENT,4.0,EDUCATION,C,8000,13.48,0,0.24,N,3,18-25,25-50K,24.24,Moderate,Non-Default,0,0.5,0.552,Moderate
24,38000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,16000,10.99,0,0.42,N,2,18-25,25-50K,42.11,Very High,Non-Default,0,0.29,0.3931,Low
21,104740,MORTGAGE,5.0,EDUCATION,B,19200,11.99,0,0.18,N,2,18-25,100-150K,18.33,Low,Non-Default,0,0.5,0.1683,Very Low
26,76800,MORTGAGE,2.0,VENTURE,A,12800,6.92,0,0.17,N,3,26-35,75-100K,16.67,Low,Non-Default,0,0.33,0.0181,Very Low
23,92004,MORTGAGE,7.0,EDUCATION,B,24250,11.12,0,0.26,N,2,18-25,75-100K,26.36,Moderate,Non-Default,0,0.33,0.1706,Very Low
23,44004,OWN,7.0,EDUCATION,A,17000,6.62,0,0.39,N,2,18-25,25-50K,38.63,High,Non-Default,0,0.33,0.1367,Very Low
23,36100,RENT,2.0,DEBTCONSOLIDATION,A,5000,7.49,0,0.14,N,2,18-25,25-50K,13.85,Low,Non-Default,0,0.33,0.1982,Very Low
22,31000,RENT,5.0,PERSONAL,B,5550,11.36,1,0.18,N,3,18-25,25-50K,17.9,Low,Default,0,0.6,0.462,Moderate
24,49000,MORTGAGE,5.0,EDUCATION,A,2700,6.92,0,0.06,N,3,18-25,25-50K,5.51,Very Low,Non-Default,0,0.43,0.1328,Very Low
24,63410,MORTGAGE,3.0,MEDICAL,E,20000,17.51,1,0.27,N,4,18-25,50-75K,31.54,Moderate,Default,0,0.57,0.8767,Very High
25,70000,MORTGAGE,6.0,VENTURE,A,14000,5.42,0,0.2,N,2,18-25,50-75K,20.0,Low,Non-Default,0,0.25,0.0311,Very Low
26,103000,MORTGAGE,10.0,EDUCATION,D,5000,14.96,0,0.05,N,4,26-35,100-150K,4.85,Very Low,Non-Default,0,0.44,0.4059,Moderate
22,21000,RENT,7.0,DEBTCONSOLIDATION,D,8000,16.77,1,0.38,Y,4,18-25,<25K,38.1,High,Default,1,0.8,0.9871,Very High
25,48600,RENT,0.0,MEDICAL,A,12000,7.49,0,0.25,N,2,18-25,25-50K,24.69,Moderate,Non-Default,0,0.25,0.1273,Very Low
25,27800,OWN,4.0,EDUCATION,A,14125,6.99,0,0.51,N,2,18-25,25-50K,50.81,Very High,Non-Default,0,0.25,0.2198,Low
23,54000,RENT,7.0,VENTURE,B,15550,11.71,0,0.29,N,4,18-25,50-75K,28.8,Moderate,Non-Default,0,0.67,0.1561,Very Low
25,42000,RENT,1.0,DEBTCONSOLIDATION,B,6000,10.99,0,0.14,N,2,18-25,25-50K,14.29,Low,Non-Default,0,0.25,0.2282,Low
24,53000,MORTGAGE,8.0,PERSONAL,D,10000,14.91,0,0.19,N,2,18-25,50-75K,18.87,Low,Non-Default,0,0.29,0.5017,Moderate
24,86400,MORTGAGE,2.0,DEBTCONSOLIDATION,A,12200,7.29,0,0.14,N,2,18-25,75-100K,14.12,Low,Non-Default,0,0.29,0.056,Very Low
24,90000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,5000,11.34,0,0.06,Y,3,18-25,75-100K,5.56,Very Low,Non-Default,1,0.43,0.224,Low
